,Category,Segment,Year,Num_of_Units
84,LCVs,Total LCVs,2005-06,171788.0
85,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2005-06,391083.0
86,Three Wheelers,Passenger Carriers,2005-06,286987.0
87,Three Wheelers,Goods Carriers,2005-06,147436.0
88,Three Wheelers,Total Three Wheelers,2005-06,434423.0
89,Two wheelers,Scooter/Scooterettee,2005-06,1021013.0
90,Two wheelers,Motorcycles/Step-Throughs,2005-06,6207690.0
91,Two wheelers,Mopeds,2005-06,379994.0
92,Two wheelers,Electric Two Wheelers,2005-06,
93,Two wheelers,Total Two wheelers,2005-06,7608697.0
94,Grand Total,Grand Total,2005-06,9743503.0
95,Passenger Vehicles (PVs),Passenger Cars,2006-07,1238032.0
96,Passenger Vehicles (PVs),Multi-Utility Vehicles,2006-07,307202.0
97,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2006-07,1545234.0
98,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2006-07,32828.0
99,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2006-07,261438.0
100,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2006-07,294258.0
101,LCVs,Passenger Carriers,2006-07,29443.0
102,LCVs,Goods Carriers,2006-07,196291.0
103,LCVs,Total LCVs,2006-07,225734.0
104,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2006-07,519982.0
105,Three Wheelers,Passenger Carriers,2006-07,385443.0
106,Three Wheelers,Goods Carriers,2006-07,170681.0
107,Three Wheelers,Total Three Wheelers,2006-07,556126.0
108,Two wheelers,Scooter/Scooterettee,2006-07,943974.0
109,Two wheelers,Motorcycles/Step-Throughs,2006-07,7112225.0
110,Two wheelers,Mopeds,2006-07,379987.0
111,Two wheelers,Electric Two Wheelers,2006-07,30454.0
112,Two wheelers,Total Two wheelers,2006-07,8466640.0
113,Grand Total,Grand Total,2006-07,11087992.0
114,Passenger Vehicles (PVs),Passenger Cars,2007-08,1426212.0
115,Passenger Vehicles (PVs),Multi-Utility Vehicles,2007-08,351371.0
116,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2007-08,1777583.0
117,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2007-08,46542.0
118,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2007-08,248415.0
119,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2007-08,294957.0
120,LCVs,Passenger Carriers,2007-08,33882.0
121,LCVs,Goods Carriers,2007-08,220167.0
122,LCVs,Total LCVs,2007-08,254049.0
123,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2007-08,549006.0
124,Three Wheelers,Passenger Carriers,2007-08,371060.0
125,Three Wheelers,Goods Carriers,2007-08,129600.0
126,Three Wheelers,Total Three Wheelers,2007-08,500660.0
127,Two wheelers,Scooter/Scooterettee,2007-08,1074933.0
128,Two wheelers,Motorcycles/Step-Throughs,2007-08,6503532.0
129,Two wheelers,Mopeds,2007-08,430827.0
130,Two wheelers,Electric Two Wheelers,2007-08,17389.0
